#,USAState,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Projections

44,District Of Columbia ,"13,273 ",+53 ,597 , ,"10,521 ","2,155 ","18,807",846,"245,255 ","347,510","705,749 ",[projections]
46,South Dakota ,"10,360 ",+86 , 153 , ,"9,013 ","1,194 ","11,711",173,"129,293 ","146,150","884,659 ",[projections]
48,North Dakota ,"8,647 ",+60 ,126 ,+1 ,"7,343 ","1,178 ","11,347",165,"180,419 ","236,751","762,062 ", [projections]
49,West Virginia ,"8,632 ",+68 ,160 , ,"6,531 ","1,941 ","4,817",89,"360,669 ","201,250","1,792,147 ",[projections]
50,New Hampshire ,"7,004 ",+16 ,423 , ,"6,302 ",279 ,"5,151",311,"214,670 ","157,879","1,359,711 ",[projections]
51,Montana ,"5,792 ",+42 ,82 , ,"4,162 ","1,548 ","5,419",77,"204,725 ","191,551","1,068,778 ",[projections]
52,Hawaii ,"5,215 ",+173 ,40 , ,"1,868 ","3,307 ","3,683",28,"209,529 ","147,986","1,415,872 ",[projections]
53,Alaska ,"4,309 ",+50 ,28 , ,"1,250 ","3,031 ","5,890",38,"305,648 ","417,812","731,545 ",[projections]
54,Maine ,"4,197 ",+29 ,127 , ,"3,638 ",432 ,"3,122",94,"221,384 ","164,694","1,344,212 ",[projections]
55,Wyoming ,"3,331 ",+45 ,33 ,+3 ,"2,699 ",599 ,"5,755",57,"91,110 ","157,423","578,759 ",[projections]
56,Vermont ,"1,527 ",+12 ,58 , ,"1,343 ",126 ,"2,447",93,"113,223 ","181,450","623,989 ",[projections]
62,Guam ,558 ,+56 ,5 , ,353 ,200 ,,,"28,918",,,
63,Northern Mariana Islands ,54 ,+4 ,2 , ,19 ,33 ,,,"16,453",,,
64,Puerto Rico ,"26,760 ",+754 ,335 , ,"2,267 ","24,158 ","7,901",99,"464,073","137,018","3,386,941 ",
65,United States Virgin Islands ,760 ,+19 ,9 , ,525 ,226 ,,,"12,429",,,
66,US Military ,"49,068 ","+1,555 ",74 , ,"26,674 ","22,320 ",,,,,,
67,Veteran Affairs ,"46,775 ",+402 ,"2,448 ",+9 ,"40,114 ","4,213 ",,,"494,766",,,
68,Federal Prisons ,"12,828 ",+91 ,115 ,+1 ,"10,804 ","1,909 ",,,"44,045",,,
69,Navajo Nation ,"9,469 ",+75 ,480 ,+2 ,"3,131 ","5,858 ",,,"84,168",,,
70,Grand Princess Ship ,103 ,,3 , ,,100 ,,,,,,
71,Wuhan Repatriated ,3 ,,, ,,3 ,,,3,,,
72,Diamond Princess Ship ,46 ,,, ,,46 ,,,46,,,
,Total:,"5,611,975","+40,560","173,716",+589,"2,973,587","2,464,672","16,954",525,"71,687,781","216,578", 
